Cod Empresa;Cod Item;Descricao;Qtde;C Cst Ctbil;F Cst For;Cst Cbil For;Pven Ic;Pven For;M1;M2;M3;M4;M5;M6;Curva;Ultima Compra;Ultima Venda;Pedido;Curva Portal;Locacao;Nome Fornecedor;Possui Pis;Possui Cofins;Status;Forn;Aplicacao
9;QMC-3000;KIT ALIMENTACAO DESCARBONIZACAO FLEX;34;128,34;128,97;128,34;217,23;217,23;20;20;22;11;2;9;A;17/07/2026;31/07/2026;NF 117469;A;145TB1;Outros;Não;Não;Ativo;2;
9;QMC-3001;KIT ALIMENTACAO DESCARBONIZACAO DIESEL;46;133,10;134,65;133,10;204,87;204,87;17;11;19;15;15;5;A;15/07/2026;01/08/2026;NF117021;A;145BC1;Outros;Não;Não;Ativo;2;
9;QMC-3002;KIT LIMPEZA SISTEMA INJECAO ELETRONICA;1;112,61;112,61;112,61;199,72;199,72;3;1;1;4;2;2;A;09/12/2025;28/07/2026;QUIDUPL;A;145WA1;Outros;Não;Não;Ativo;2;
9;QMC-3004;KIT MANUTENCAO GM;60;141,67;143,00;141,17;223,23;223,23;8;3;13;7;15;14;A;17/07/2026;29/07/2026;NF 117469;A;146DA1;Outros;Sim;Sim;Ativo;2;
9;QMC-3005;FLUIDO ROSA;141;31,96;32,28;31,96;61,70;61,70;48;67;59;55;73;62;A;15/07/2026;31/07/2026;NF117021;A;145XC1;Outros;Sim;Sim;Ativo;2;
9;QMC-3006;HIGIENIZADOR GRANADA;314;38,03;36,59;38,03;72,00;72,00;109;105;108;105;93;98;A;15/07/2026;01/08/2026;NF117021;A;145RB1;Outros;Sim;Sim;Ativo;2;
9;QMC-3007;LIMPEZA CAIXA EVAPORADORA;220;90,95;92,76;90,95;123,50;123,50;65;70;43;53;59;55;A;15/07/2026;31/07/2026;NF117021;A;145JA1;Outros;Não;Não;Ativo;2;
9;QMC-3008;DESENGRAXANTE LIMPA FREIOS 300ML;2;34,78;35,17;34,78;60,67;60,67;4;2;0;1;1;1;A;09/12/2025;30/07/2026;QUIDUPL;A;145CG1;Outros;Sim;Sim;Ativo;2;
9;QMC-3009;POWER X OTIMIZADOR;164;40,44;40,76;40,44;61,70;61,70;49;74;53;50;79;72;A;15/07/2026;03/08/2026;NF117021;A;145CC1;Outros;Não;Não;Ativo;2;
9;QMC-3010;CONDICIONADOR POWER AIR TREATMENT;126;50,57;50,74;50,57;82,90;82,90;39;15;20;19;12;16;A;27/06/2026;01/08/2026;POWERX;A;145BD1;Outros;Sim;Sim;Ativo;2;
